split,loader,location,num_workers,batch_size,mean,std,setup
val,hdf5,local,0,128,1.402408102485268,0.09860796275068698,6.110874891281128
val,hdf5,local,1,128,1.0468001400848153,0.029578943415619903,5.772254705429077
val,hdf5,local,2,128,0.6103432359706078,0.045422771913705806,6.005115509033203
val,hdf5,local,3,128,0.3983222702854878,0.041133915880371824,5.96826434135437
val,hdf5,local,4,128,0.32650849884292776,0.04583360508079628,5.745877265930176
val,hdf5,local,8,128,0.18007935887102836,0.0468978522243334,6.104204416275024
val,hdf5,local,12,128,0.13052231329992145,0.05236151547750221,6.513901472091675
val,hdf5,local,16,128,0.12485368031442964,0.09672678641323659,6.665455102920532
val,hdf5,remote,0,128,1.7767059402997671,0.059881987525817956,6.776530981063843
val,hdf5,remote,1,128,1.2029397812705223,0.0441177484247254,5.880497694015503
val,hdf5,remote,2,128,0.6637364352853703,0.03672626719062657,6.044907808303833
val,hdf5,remote,3,128,0.4824553120423974,0.06205772037686004,6.078696966171265
val,hdf5,remote,4,128,0.3678031530580484,0.06400581129200256,6.060750484466553
val,hdf5,remote,8,128,0.19662721475719344,0.07521341557342145,6.431975364685059
val,hdf5,remote,12,128,0.15673115634292897,0.0722745560503168,6.760065793991089
val,hdf5,remote,16,128,0.16520074427036371,0.15650917582943139,6.82024621963501
val,folder,local,0,128,2.5614337733859425,0.05344231355756765,6.485999584197998
val,folder,local,1,128,0.9946966383144692,0.02844514633238546,5.524601936340332
val,folder,local,2,128,0.5476161566143024,0.04167812218921859,5.807708501815796
val,folder,local,3,128,0.3786631988136962,0.059313289811095786,6.03397011756897
val,folder,local,4,128,0.3010078557567405,0.05040586342477201,5.733805894851685
val,folder,local,8,128,0.16478284988552333,0.050149132734953375,6.310010194778442
val,folder,local,12,128,0.11391262049936424,0.05409145889819723,6.297117710113525
val,folder,local,16,128,0.1038827086420497,0.07288196977135694,6.514829158782959
val,folder,remote,0,128,2.59267054847109,0.07032711182409386,19.143627166748047
val,folder,remote,1,128,1.074592402642676,0.05140933660512709,6.20246958732605
val,folder,remote,2,128,0.5962096400010133,0.03941087531888397,6.403302431106567
val,folder,remote,3,128,0.4254198197865792,0.051565287084051045,6.081602096557617
val,folder,remote,4,128,0.3462914712710439,0.0568235464238506,6.188982963562012
val,folder,remote,8,128,0.1805024205149883,0.05415916210152185,6.070025205612183
val,folder,remote,12,128,0.1362014921145081,0.06706467635498649,7.0882909297943115
val,folder,remote,16,128,0.12761040102840135,0.08336718081253178,6.724553346633911
train,hdf5,local,0,128,2.390931697200202,0.0735138127287173,10.435286283493042
train,hdf5,local,1,128,1.8176432945141898,0.0735962973919859,8.52285361289978
train,hdf5,local,2,128,1.0700500964997837,0.07394116829645701,9.160655736923218
train,hdf5,local,3,128,0.834936751799874,0.14811867736380863,9.112134456634521
train,hdf5,local,4,128,0.7056426429002646,0.18232047395479734,9.963035345077515
train,hdf5,local,8,128,0.5164061049007744,0.18243098880939682,12.146544456481934
train,hdf5,local,12,128,0.43293161720004203,0.25459273221325623,14.850097179412842
train,hdf5,local,16,128,0.4576496737281559,0.3032263291622115,13.682058334350586
train,hdf5,remote,0,128,3.8987632880714957,0.2991662610660844,14.8651258945465
train,hdf5,remote,1,128,3.555661788385727,0.2161073339990831,14.529773235321045
train,hdf5,remote,2,128,2.3112139843853323,0.17380027609033138,11.179322481155396
train,hdf5,remote,3,128,1.7583907519575277,0.32283769944439056,13.46373963356018
train,hdf5,remote,4,128,1.4265689815436158,0.4013994727246916,13.333659172058105
train,hdf5,remote,8,128,0.8976739437577115,0.30570814249842276,16.7719464302063
train,hdf5,remote,12,128,0.7507797959713832,0.461298032278341,17.249058485031128
train,hdf5,remote,16,128,0.6668986420147122,0.6044381952078427,20.28365707397461
train,folder,local,0,128,3.146618122856931,0.28216965956100765,73.75477862358093
train,folder,local,1,128,2.378836615786089,0.13969417413531915,11.287045001983643
train,folder,local,2,128,1.548960414757104,0.2118333552363015,13.664398193359375
train,folder,local,3,128,1.4058093669570684,0.2959344940263095,12.123928546905518
train,folder,local,4,128,1.2948108498431146,0.47937749570728727,13.94898009300232
train,folder,local,8,128,1.0442114218429197,0.3461662278786462,16.46535897254944
train,folder,local,12,128,0.8598847453278723,0.4662510365097504,20.470795392990112
train,folder,local,16,128,0.9026829024144847,0.7740615165881068,21.257571935653687
train,folder,remote,0,128,3.49127749424328,0.14670518456590678,120.04957938194275
train,folder,remote,1,128,3.471534466886078,0.2352977883293816,98.81554508209229
train,folder,remote,2,128,1.5769480073142663,0.22411475531928463,11.825525045394897
train,folder,remote,3,128,0.9032369737284691,0.17174553098193066,11.144602537155151
train,folder,remote,4,128,0.6847995162858361,0.2366607447696711,11.824826002120972
train,folder,remote,8,128,0.34442835641343017,0.12782096987896185,12.243304014205933
train,folder,remote,12,128,0.2240785105428326,0.12118314249862668,13.068935871124268
train,folder,remote,16,128,0.1740008048858726,0.14083300584179215,14.406368970870972
